what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431645933874
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431645943705
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1431645982732
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1431645983200
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1431645983717
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1431645984152
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1431645991399
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431645991862
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1431646001410
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1431646001683
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1431646013953
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1431646017065
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431646019022
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1431646020713
activated,editor,org.nodeclipse.ui,0.17.0.201409260936,"org.nodeclipse.ui.editors.NodeEditor",1431646022740
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1431646024947
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1431646026035
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1431646028353
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431646030423
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431646032133
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431646042542
activated,editor,org.nodeclipse.ui,0.17.0.201409260936,"org.nodeclipse.ui.editors.NodeEditor",1431646043997
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431646049433
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431646050845
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431646058388
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431646068421
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431646072927
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431646073917
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431646082371
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431646093430
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431646094688
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431646113404
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431646114263
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431646116677
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431646117998
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431646142634
